source,target,weight
42223,724052,1
724052,42223,1
16911,134690,1
134690,16911,1
817031,817032,1
817031,5617,1
817032,817031,1
817032,5617,1
5617,817031,1
5617,817032,1
817551,778053,1
440334,778053,1
778053,817551,1
778053,440334,1
73290,234220,1
234220,73290,1
841630,9228,1
845295,845296,1
845296,845295,1
857305,857306,1
890761,890762,1
890761,890763,1
890761,890764,1
890762,890761,1
890762,890763,1
890762,890764,1
890763,890761,1
890763,890762,1
890764,890761,1
890764,890762,1
858836,6869,1
858836,39023,1
858836,18847,1
894410,6869,1
894410,39023,1
894410,18847,1
6869,858836,1
6869,894410,1
6869,39023,1
6869,45311,1
6869,18847,1
6869,26819,1
39023,858836,1
39023,894410,1
39023,6869,1
39023,45311,1
39023,18847,1
39023,26819,1
45311,6869,1
45311,39023,1
45311,18847,1
18847,858836,1
18847,894410,1
18847,6869,1
18847,39023,1
18847,45311,1
18847,26819,1
26819,6869,1
26819,39023,1
26819,18847,1
899014,899015,1
899014,833867,1
899014,899016,1
899014,47030,1
899014,899017,1
899015,899014,1
899015,833867,1
899015,899016,1
899015,47030,1
899015,899017,1
833867,899014,1
833867,899015,1
833867,47030,1
899016,899014,1
899016,899015,1
899016,47030,1
47030,899014,1
47030,899015,1
47030,833867,1
47030,899016,1
47030,899017,1
899017,899014,1
899017,899015,1
899017,47030,1
749871,60556,1
60556,749871,1
37293,836547,1
37293,33318,1
836547,37293,1
836547,33318,1
33318,37293,1
33318,836547,1
961207,629985,1
961208,629985,1
629985,961207,1
629985,961208,1
51940,160497,1
160497,51940,1
975436,75659,1
975436,54953,1
75659,975436,1
75659,54953,1
54953,975436,1
54953,75659,1
302632,1012497,1
1012497,302632,1
1028297,16271,1
13294,16271,1
16271,1028297,1
16271,13294,1
87542,87543,1
87542,109969,1
87543,87542,1
87543,109969,1
109969,87542,1
109969,87543,1
1061666,1061667,1
1061666,275584,1
1061666,25910,1
1061667,1061666,1
1061667,275584,1
1061667,25910,1
275584,1061666,1
275584,1061667,1
275584,25910,1
25910,1061666,1
25910,1061667,1
25910,275584,1
79290,1067929,1
1067929,79290,1
82620,82621,1
82620,82622,1
82621,82620,1
82621,82622,1
82622,82620,1
82622,82621,1
258793,49078,1
49078,258793,1
1087006,33588,1
1087006,1087007,1
33588,1087006,1
33588,1087007,1
1087007,1087006,1
1087007,33588,1
30248,872870,1
1092969,1092970,1
1092970,1092969,1
80628,250499,1
80628,194723,1
80628,8248,1
250499,80628,1
250499,194723,1
250499,8248,1
194723,80628,1
194723,250499,1
8248,80628,1
8248,250499,1
1112700,183930,1
62441,183930,1
183930,1112700,1
183930,62441,1
617973,84881,1
617973,20,1
84881,617973,1
20,617973,1
49077,37542,1
